id,t11_bucc,t11_lin,t11_ip,t12_bucc,t12_lin,t12_ip,t13_bucc,t13_lin,t13_ip,t14_bucc,t14_lin,t14_ip,t15_bucc,t15_lin,t15_ip,t16_bucc,t16_lin,t16_ip,t17_bucc,t17_lin,t17_ip,t18_bucc,t18_lin,t18_ip,t21_bucc,t21_lin,t21_ip,t22_bucc,t22_lin,t22_ip,t23_bucc,t23_lin,t23_ip,t24_bucc,t24_lin,t24_ip,t25_bucc,t25_lin,t25_ip,t26_bucc,t26_lin,t26_ip,t27_bucc,t27_lin,t27_ip,t28_bucc,t28_lin,t28_ip,t31_bucc,t31_lin,t31_ip,t32_bucc,t32_lin,t32_ip,t33_bucc,t33_lin,t33_ip,t34_bucc,t34_lin,t34_ip,t35_bucc,t35_lin,t35_ip,t36_bucc,t36_lin,t36_ip,t37_bucc,t37_lin,t37_ip,t38_bucc,t38_lin,t38_ip,t41_bucc,t41_lin,t41_ip,t42_bucc,t42_lin,t42_ip,t43_bucc,t43_lin,t43_ip,t44_bucc,t44_lin,t44_ip,t45_bucc,t45_lin,t45_ip,t46_bucc,t46_lin,t46_ip,t47_bucc,t47_lin,t47_ip,t48_bucc,t48_lin,t48_ip
MB131,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,1,NA,NA,NA,NA,NA,NA,0,0,1,NA,NA,NA,1,0,0,0,0,1,0,0,1,1,0,1,NA,NA,NA,NA,NA,NA,2,3,1,1,1,1,1,1,1,1,2,1,0,1,1,0,0,1,NA,NA,NA,NA,NA,NA,1,1,1,1,2,1,0,0,1,0,1,0,0,1,1,0,1,1,NA,NA,NA,0,0,0
MB407,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,NA,NA,NA,0,1,1,0,1,1,0,1,1,0,1,1,1,1,1,1,1,1,0,0,1,NA,NA,NA,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
MB30,1,1,1,1,1,1,1,1,1,0,1,1,NA,NA,NA,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,0,1,1,1,0,1,NA,NA,NA,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,0,1,1,0,0,1,NA,NA,NA
MB204,1,0,0,0,0,0,0,0,0,0,0,1,NA,NA,NA,1,0,1,NA,NA,NA,NA,NA,NA,1,0,1,0,0,1,NA,NA,NA,1,0,1,1,0,1,1,0,1,NA,NA,NA,NA,NA,NA,1,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,NA,NA,NA,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
MB158,1,0,1,1,1,1,0,0,1,0,1,1,1,1,1,0,1,1,1,1,1,0,1,1,2,1,0,1,1,0,1,0,0,0,0,1,NA,NA,NA,0,0,1,1,1,1,2,1,1,1,1,2,2,1,1,1,1,1,0,1,1,0,0,1,NA,NA,NA,1,1,0,1,1,1,NA,NA,NA,2,1,1,2,1,1,0,1,1,0,0,1,1,0,0,1,1,1,NA,NA,NA
MB235,1,1,1,1,0,1,0,0,1,0,0,1,NA,NA,NA,0,1,1,NA,NA,NA,0,0,1,1,1,1,1,1,1,NA,NA,NA,1,0,1,0,1,1,1,1,1,NA,NA,NA,0,0,1,1,1,1,1,1,1,0,1,0,0,1,1,1,1,0,NA,NA,NA,1,1,0,1,1,0,1,1,1,1,1,1,0,1,1,0,1,1,0,0,0,NA,NA,NA,0,0,0,0,1,0
MB116,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,0,0,1,0,0,1,0,1,1,0,0,1,2,2,1,NA,NA,NA,NA,NA,NA,2,2,2,2,2,2,2,2,1,1,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,0,2,1,NA,NA,NA
MB65,0,1,0,0,1,0,0,1,0,0,1,1,NA,NA,NA,1,1,1,0,0,1,0,1,1,0,1,0,NA,NA,NA,0,0,0,0,0,1,NA,NA,NA,1,0,1,0,0,1,0,1,1,1,1,0,NA,NA,NA,1,2,1,0,2,1,0,1,0,0,1,0,0,1,0,0,1,0,NA,NA,NA,0,3,1,0,2,1,0,2,0,0,0,1,1,1,1,1,0,1,0,1,1
MB410,NA,1,0,1,1,0,NA,NA,NA,0,0,1,0,0,NA,2,1,1,NA,0,1,NA,NA,NA,0,1,0,NA,NA,NA,1,1,0,NA,NA,NA,NA,NA,NA,2,0,1,NA,0,0,NA,NA,NA,0,2,2,1,2,1,1,1,1,0,1,0,0,0,1,1,NA,1,1,0,1,NA,NA,NA,2,2,1,1,2,1,0,1,1,0,1,0,0,1,0,0,0,1,1,0,1,0,0,1
MB298,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,2,1,1,1,0,0,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,2,0,1,1,2,2,2,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MB406,2,1,2,0,1,2,0,1,1,0,0,2,NA,NA,NA,1,1,1,NA,NA,NA,0,1,1,2,1,1,0,0,0,NA,NA,NA,0,0,1,NA,NA,NA,1,1,1,0,1,1,0,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,2,1,1,1,0,1,1,1,1,1,1,1,1,1,2,0,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1
MB292,1,0,1,1,0,1,NA,1,NA,NA,1,1,NA,1,0,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,0,0,1,1,0,1,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,2,1,1,1,1,2,1,1,2,1,1,1,0,0,1,1,1,1,0,0,1,NA,0,0,0,1,1,1,2,1,0,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1
MB186,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,0,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,2,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,0,1,1,0,0,1,0,0,1,1,1,1,NA,NA,NA,NA,NA,NA
MB329,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,NA,1,0,2,0,0,0,1,0,1,1,0,1,NA,NA,NA,3,0,1,NA,NA,NA,3,1,1,NA,NA,NA,NA,NA,NA,2,1,1,1,1,2,1,1,1,0,1,1,2,2,1,1,3,2,2,3,1,1,2,1,NA,NA,NA,0,1,1,0,0,1,0,0,1,NA,NA,NA,0,0,0,0,0,0,0,0,0
MB60,0,0,1,0,1,0,0,0,1,0,1,1,1,1,1,NA,NA,NA,NA,NA,NA,1,0,1,1,1,0,0,1,0,1,0,0,NA,NA,NA,NA,NA,NA,1,1,0,NA,NA,NA,1,0,1,0,1,1,1,1,0,1,1,0,1,0,1,0,0,1,NA,NA,NA,NA,NA,NA,0,1,0,1,1,1,2,1,1,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1
MB392,0,0,0,NA,NA,NA,0,0,0,NA,NA,NA,0,0,1,1,NA,NA,NA,1,0,1,NA,NA,NA,0,0,1,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,0,1,0,0,0,0,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,0,1,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,0,0,1,0,2
MB251,0,0,1,0,0,0,0,0,1,0,0,1,0,0,2,0,0,2,0,0,2,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,1,0,2,1,0,1,0,0,0,1,1,1,2,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,NA,NA,NA,1,1,1,0,0,1,NA,NA,NA,0,0,0,0,0,1,0,0,0,NA,NA,NA
MB287,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,2,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,1,0,1,NA,NA,NA,1,0,1,1,1,2,0,1,2,0,0,1,0,0,1,0,0,1,NA,0,1,0,0,1,0,0,1,1,2,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1
MB107,1,0,0,0,0,1,0,0,1,0,0,1,NA,NA,NA,1,0,0,1,0,0,0,0,1,1,1,1,NA,NA,1,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,NA,NA,NA,1,1,1,0,1,1,1,1,0,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,0,1,NA,NA,NA,NA,NA,NA,0,0,1,0,0,1,NA,NA,NA
MB261,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,0,0,2,1,1,2,1,1,2,1,1,1,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,1,1,0,1,1,0,0,1,NA,NA,NA,NA,NA,NA,0,1,1,0,1,2,0,1,1,0,1,1,0,1,1,NA,NA,NA,0,0,0,NA,NA,NA,0,0,0
MB78,NA,NA,NA,NA,NA,NA,1,0,1,0,0,1,0,1,1,0,0,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,0,0,0,NA,NA,NA,1,1,1,1,1,1,0,1,1,1,1,1,0,0,1,NA,NA,NA,NA,NA,NA,0,1,1,1,1,1,0,1,0,0,1,1,0,1,1,1,1,1,0,1,0
MB180,1,0,0,NA,NA,NA,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,NA,NA,NA,1,0,1,NA,NA,NA,0,0,0,1,2,0,1,1,1,0,1,2,0,0,1,1,0,0,NA,NA,NA,1,0,0,0,1,0,1,1,1,1,1,1,0,1,1,0,0,1,0,0,1,NA,NA,NA,0,0,0,0,0,0
MB366,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,2,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,0,1,0,0,1,0,0,2,1,0,1,0,0,1,0,0,0,1,1,1,2,2,3,1,0,2,0,0,1,0,0,1,0,0,1,0,0,1,NA,NA,NA,1,1,1,NA,NA,NA,1,2,2,0,0,1,NA,NA,NA,0,0,1,NA,NA,NA,NA,NA,NA
MB255,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,0,1,1,1,1,1,1,2,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
MB207,2,0,1,2,0,2,2,0,1,2,0,1,NA,NA,NA,3,1,1,NA,NA,NA,1,0,1,2,0,1,NA,NA,NA,2,0,1,0,0,1,0,0,1,0,0,2,0,0,1,0,0,0,NA,NA,NA,2,3,1,0,2,1,0,2,0,0,1,1,0,1,1,0,0,1,0,0,1,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1
MB266,1,1,0,1,0,0,1,1,1,0,0,1,NA,NA,NA,1,1,1,NA,NA,NA,1,0,0,0,0,1,NA,NA,NA,0,0,1,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,1,0,1,1,1,1,2,0,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0,1,1,0,1,1,0,1,1,1,1,1,1,1,0,NA,NA,NA
MB301,1,0,1,1,1,1,0,0,0,0,1,1,0,1,1,0,2,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,1,1,NA,NA,NA,0,1,1,0,0,1,0,1,0,1,1,1,1,0,1,1,0,2,NA,1,2,NA,NA,NA,0,2,1,NA,NA,NA,NA,NA,NA,1,2,1,2,1,1,2,1,1,0,1,1,NA,NA,NA,1,2,2,NA,NA,NA
MB18,1,0,1,1,0,1,0,0,1,0,0,1,0,0,1,0,1,1,0,1,1,NA,0,0,1,0,1,0,0,1,0,0,1,1,0,1,NA,NA,NA,2,0,1,1,0,1,NA,NA,NA,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,NA,NA,NA,1,0,1,0,0,1,1,1,1,2,1,1,0,1,1,0,0,1,0,1,1,NA,NA,NA,0,1,1,0,1,1
MB121,2,1,1,2,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,0,0,1,2,1,2,2,1,0,1,1,1,1,1,1,1,1,1,NA,NA,NA,1,1,1,0,1,1,0,3,2,2,1,1,1,3,1,1,2,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,1,1,1,2,1,2,1,1,1,1,1,1,0,1,1,0,1,1,NA,NA,NA,NA,NA,NA
MB163,0,1,1,1,1,1,1,1,1,0,0,1,0,1,1,NA,NA,NA,0,1,1,1,1,1,NA,NA,NA,1,1,1,1,1,1,1,1,1,NA,NA,NA,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,NA,NA,NA,1,1,1,0,1,1,1,0,1,1,1,1,0,1,0,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1
MB120,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,NA,NA,NA,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,1,1,1,0,1,1,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,1,1,2,1,1,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MB53,1,0,0,NA,NA,NA,1,0,1,1,0,0,NA,NA,NA,2,1,1,NA,NA,NA,NA,NA,NA,1,0,0,NA,NA,NA,1,0,0,0,0,1,1,1,1,2,1,1,1,1,1,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,1,0,1,0,1,1,NA,NA,NA,NA,NA,NA,2,1,2,NA,NA,NA,1,1,1,0,1,1,0,1,1,NA,NA,NA,NA,NA,NA
MB9,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,NA,NA,NA,1,1,1,1,1,1,1,0,1,0,1,1,2,1,1,2,1,1,1,1,1,2,1,1,NA,NA,NA,0,3,1,0,3,1,0,1,1,0,3,1,0,NA,1,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,0,2,2,0,1,1,0,2,1,0,1,1,NA,NA,NA,1,1,1
MB396,0,0,1,0,0,1,NA,NA,NA,1,0,1,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,1,1,1,0,0,1,0,1,0,0,0,1,2,0,1,1,1,1,0,0,1,NA,NA,NA,2,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,0,0,0,1,1,0,0,1,2,1,1,1,1,1,0,1,1,NA,NA,NA,0,0,1,NA,NA,NA,0,0,1,0,0,1
MB69,1,0,1,1,0,0,1,1,0,1,0,0,NA,NA,NA,NA,NA,NA,1,1,1,0,1,1,1,0,1,0,0,1,1,0,1,1,0,0,1,0,0,1,0,0,1,NA,NA,NA,NA,NA,1,0,1,NA,NA,NA,1,0,1,1,0,1,1,0,1,NA,NA,NA,1,2,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,0,NA,NA,NA,1,0,1,NA,NA,NA,0,1,0
MB361,1,1,1,1,1,1,1,1,1,1,1,0,NA,NA,NA,NA,NA,NA,2,1,2,0,1,1,1,0,1,0,1,1,NA,NA,NA,1,1,1,0,0,1,NA,NA,NA,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,NA,NA,NA,1,1,1,1,1,1,1,1,1,0,0,1,0,1,0,0,1,1,NA,NA,NA,NA,NA,NA
MB425,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,1,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,0,0,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,2,1,2,1,2,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MB423,NA,NA,NA,1,0,1,NA,NA,NA,2,0,0,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,1,0,1,1,0,1,2,0,1,1,0,2,1,0,2,0,0,2,0,0,0,2,1,1,3,3,1,2,2,1,0,1,1,0,1,1,1,1,1,NA,NA,NA,0,1,0,2,2,1,2,2,1,1,2,1,0,1,1,0,1,1,0,1,1,NA,NA,NA,1,1,1
MB29,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,1,0,1,0,0,1,NA,NA,NA,0,0,0,1,0,0,NA,NA,NA,1,0,2,0,0,1,NA,NA,NA,NA,NA,NA,0,0,0,1,1,0,1,1,1,0,0,1,0,0,1,1,NA,NA,NA,NA,NA,0,0,1,0,0,1,1,1,2,1,1,1,0,0,1,0,0,1,NA,NA,NA,0,0,1,0,1,1,0,0,0
MB117,NA,NA,NA,NA,NA,NA,1,0,1,1,0,1,NA,NA,NA,1,1,1,NA,NA,NA,0,1,1,NA,NA,NA,NA,NA,NA,0,0,1,1,1,2,1,1,1,2,1,1,1,0,1,NA,NA,NA,2,1,1,2,1,1,1,1,1,1,1,1,1,0,1,NA,NA,NA,1,0,0,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,NA,NA,NA,1,1,1,NA,NA,NA
MB365,NA,NA,NA,1,1,0,1,1,0,1,1,1,2,1,0,2,1,1,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,0,1,2,0,1,2,0,1,NA,NA,NA,3,0,1,1,2,1,1,1,1,2,1,1,0,1,1,0,1,1,1,1,1,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,2,NA,NA,NA,0,1,1,NA,NA,NA,1,0,1
